ano_mes,total_vendas,total_frete,receita_total,total_pedidos,total_clientes,ticket_medio
2016-09,134.97,8.49,143.46,1,1,143.46
2016-10,40325.11,6165.55,46490.66,265,265,175.4364528301887
2016-12,10.9,8.72,19.62,1,1,19.62
2017-01,111798.36,15684.01,127482.37,750,750,169.97649333333334
2017-02,234223.4,37015.92,271239.32,1653,1653,164.08912280701756
2017-03,359198.85,55132.1,414330.95,2546,2546,162.73800078554595
2017-04,340669.68,50142.72,390812.4,2303,2303,169.6970907511941
2017-05,489338.25,77513.15,566851.4,3546,3546,159.85657078398197
2017-06,421923.37,68127.0,490050.37,3135,3135,156.31590749601276
2017-07,481604.52,84694.56,566299.08,3872,3872,146.2549276859504
2017-08,554699.7,91132.66,645832.36,4193,4193,154.02632005723825
2017-09,607399.67,93677.82,701077.49,4150,4150,168.93433493975903
2017-10,648247.65,102869.36,751117.01,4478,4478,167.73492853952658
2017-11,987765.37,165598.83,1153364.2,7289,7289,158.23352997667718
2017-12,726033.1900000001,117045.1,843078.29,5513,5513,152.92550154181026
2018-01,924645.0,153242.46,1077887.46,7069,7069,152.48089687367377
2018-02,826437.13,139731.28,966168.41,6555,6555,147.39411289092297
2018-03,953356.25,167241.99,1120598.24,7003,7003,160.01688419248893
2018-04,973534.09,159344.84,1132878.93,6798,6798,166.64885701676963
2018-05,977544.6900000001,151229.83,1128774.52,6749,6749,167.2506326863239
2018-06,856077.86,155900.43,1011978.29,6099,6099,165.9252811936383
2018-07,867953.46,159853.82,1027807.28,6159,6159,166.8789219029063
2018-08,838576.64,146915.0,985491.64,6351,6351,155.17109746496615
